node_1|node_2|edge
india|health indicators|India's health indicators have improved in recent times but continue to lag behind those of its peer nations.
india|population|The country with a population of 1.3 billion
india|health workers density|has an estimated active health workers density of doctors and nurses/midwives of 5.0 and 6.0 respectively, for 10,000 persons
india|who threshold|which is much lower than the WHO threshold of 44.5 doctors, nurses, and midwives per 10,000 population
india|skewed inter-state, urban-rural, and public-private sector divide|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide.
health workforce|human resources|Calls to urgently augment the skilled health workforce reinforce the central role human resources have in healthcare
india|skilled personnel|The paucity of skilled personnel must be addressed if India is to accelerate its progress toward achieving universal health coverage and its sustainable development goals (SDGs).
federal health budget|opportunity|The recent increase in the federal health budget offers an unprecedented opportunity to do this.
authors' experiential learning|health system in india|This article utilizes the ready materials, extract and analyze data, distill findings (READ) approach to adding to the authors' experiential learning to analyze the health system in India.
public-private sector systems|medical tourism industry|The growing divide between the public and the burgeoning private health sector systems, with the latter's booming medical tourism industry
private health sector systems|medical tourism industry|The burgeoning private health sector systems are analyzed along with the booming medical tourism industry.
private health sector systems|medical schools|The burgeoning private health sector systems are analyzed along with the burgeoning number of medical schools.
private health sector systems|national medical council|The burgeoning private health sector systems are analyzed along with the newly created National Medical Council.
medical tourism industry|medical schools|The booming medical tourism industry is analyzed along with the burgeoning number of medical schools.
medical tourism industry|national medical council|The booming medical tourism industry is analyzed along with the newly created National Medical Council.
medical schools|national medical council|The burgeoning number of medical schools is analyzed along with the newly created National Medical Council.
public and private sectors|growing divide|The authors describe the growing divide between the public and private sectors.
public and private sectors|divergent strategies|The authors describe the divergent strategies of the public and private sectors.
public and private sectors|medical tourism industry|The authors describe the booming medical tourism industry in the private sector.
public and private sectors|burgeoning number of medical schools|The authors describe the burgeoning number of medical schools in the private sector.
public and private sectors|national medical council|The authors describe the opportunities available within the newly created National Medical Council.
public and private sectors|increase in the federal health budget|The authors describe the recent increase in the federal health budget.
paucity of quality health personnel|transparent governance|The recommendations made to address the paucity of quality health personnel include the creation of transparent governance.
paucity of quality health personnel|strengthening the health infrastructure|The recommendations made to address the paucity of quality health personnel include strengthening the health infrastructure.
paucity of quality health personnel|upskilling the existing workforce|The recommendations made to address the paucity of quality health personnel include upskilling the existing workforce.
paucity of quality health personnel|partnerships with the much larger private sector|The recommendations made to address the paucity of quality health personnel include creating partnerships with the much larger private sector.
methodology used|read approach|The methodology used is the READ approach, which is a systematic approach for document analysis in health policy research.
materials|data|extracting the data
data|analyzing|analyzing it to distill the findings
literature search|articles|56 articles published in peer-reviewed journals between 2005 and 2021 were selected and analyzed
authors' experiential knowledge|foundation|the corresponding authors' experiential knowledge served as the foundation for the analysis
government-funded health sector|provider|the government-funded health sector, which is the provider of healthcare to vulnerable populations
government-funded health sector|underfunded|the government-funded health sector has been chronically underfunded with 1.28% of the GDP
government-funded health sector|healthcare expenditure|this translates to a healthcare expenditure of $2.7 per citizen per year
india|public hospital beds|India has 0.7 public hospital beds per 100,000 people
india|physicians|India has 0.576 physicians per 1,000 population in 2000
world health organization|doctor-to-population ratio|compared to the World Health Organization's recommended doctor-to-population ratio of 1:1,000
national health mission|services provided|since the inception of the National Health Mission (NHM) in 2005, the government has aimed to increase the quantum of services provided
national health mission|lack of focus|a lack of focus on quality has failed to make a dent in healthcare indicators
population|health insurance coverage|at best, 37% of the population had any health insurance coverage in 2018
private health sector|provider|the for-profit private health sector becoming the dominant provider of healthcare
private health sector|quality care|it is perceived to provide quality care
private health sector|gdp|it consumes 5.1% of the GDP
private health sector|financed|which is financed by Out-Of-Pocket (OOP) expenditure
private health sector|health facilities|this sector spans a wide range, from world-class health facilities, such as Narayana Health, to individual informal provider clinics
narayana health|healthcare service provider|Narayana Health is an internationally accredited, high quality, tertiary healthcare service provider
informal provider clinics|medical care|individual informal provider clinics are establishments providing medical care
informal provider clinics|solo provider|often manned by a solo provider
informal provider clinics|formal medical qualification|who does not have a formal medical qualification or registration
urban|world-class health facilities|world-class health facilities exist in urban areas
formal medical qualification|registration|A person who does not have a formal medical qualification or registration.
health facilities|urban areas|World-class health facilities exist in urban areas.
medical tourism|india|India has become a leading destination for medical tourism.
informal providers|urban slums|Informal providers are concentrated in urban slums.
informal providers|rural areas|Informal providers are concentrated in rural areas.
informal providers|first choice of care|Informal providers are the first choice of care for their communities.
informal providers|trusted constant presence|Informal providers have built a long-standing trusted constant presence in their communities.
informal providers|social norms|Informal providers have adapted to their social norms.
informal providers|economic norms|Informal providers have adapted to their economic norms.
informal providers|cultural norms|Informal providers have adapted to their cultural norms.
nhm|health challenges|NHM has sought to address health challenges.
nhm|communitization|NHM has implemented communitization as an approach to address health challenges.
nhm|flexible financing|NHM has implemented flexible financing as an approach to address health challenges.
nhm|improved management|NHM has implemented improved management through capacity building as an approach to address health challenges.
nhm|monitoring progress|NHM has implemented monitoring progress against standards as an approach to address health challenges.
nhm|innovations in human resource management|NHM has implemented innovations in human resource management as an approach to address health challenges.
new cadres|primary healthcare|New cadres have been created to provide primary healthcare.
new cadres|universal health coverage|New cadres have been created to accelerate the pace toward universal health coverage.
female community health workers|accredited social health activists (asha)|Female community health workers are known as Accredited Social Health Activists (ASHA).
female community health workers|population|There is one female community health worker for every 1,000 population.
female community health workers|auxiliary nurse midwives (anm)|Female community health workers serve to increase the reach of Auxiliary Nurse Midwives (ANM).
female community health workers|population served|Female community health workers serve up to 20,000 people.
anms|high school graduates|ANMs are high school graduates.
anms|training|ANMs receive 18 months of training.
ashas|school education|ASHAs attend school up to the eighth grade, sometimes even less.
ashas|initial training|ASHAs receive 23 days' initial training.
ashas|on-the-job training|ASHAs receive additional on-the-job need-based short training.
anms|government employees|ANMs are government employees and receive a salary.
ashas|private contractors|ASHAs are treated as private contractors.
ashas|payment|ASHAs receive a payment proportionate to the amount of work performed.
synthesis|recent synthesis|A recent synthesis of the topic.
anms|government employees|ANMs are government employees
anms|salary|ANMs receive a salary
ashas|private contractors|ASHAs are treated as private contractors
ashas|payment|ASHAs receive a payment proportionate to the amount of work performed
evaluation|ashas|evaluation of ASHAs from a health systems perspective
cadres|government|new cadres are being hired by the government on a contractual basis
rural medical assistants (rmas)|three-year diploma course|RMA is a three-year diploma course
rural medical assistants (rmas)|primary health centers|RMAs work at Primary Health Centers
evaluation|rural medical assistants (rmas)|initial evaluation of RMAs is positive
paramedical personnel|paramedical councils|paramedical councils now exist
paramedical personnel|supportive care|personnel are trained for the provision of supportive care in health facilities and homes
ashas|contractors|ASHAs remain contractors
doctors|contractual basis|doctors are being hired on a contractual basis
nurses|contractual basis|nurses are being hired on a contractual basis
nhm|contractual personnel|275,000 contractual personnel have been inducted into the workforce since the inception of the NHM in 2005
doctors|monetary incentives|doctors are incentivized to accept contractual posts in rural areas by linking these postings with monetary incentives
doctors|residencies|doctors are incentivized to accept contractual posts in rural areas by preferential admission into residencies
ayush|bridge courses|AYUSH doctors are trained in bridge courses in allopathic medicine
public sector|working conditions|working conditions in the public sector remain demotivating
contractual employees|remuneration|contractual employees have lower remuneration as compared to their regular counterparts
contractual employees|salary payments|salary payments are delayed for contractual employees
contractual employees|temporary nature of contracts|the temporary nature of contracts remains a cause of concern for contractual employees
infrastructure|supply chain issues|poor infrastructure and supply chain issues
payments|delayed|payments are delayed
contracts|temporary nature|the temporary nature of contracts
infrastructure|supply chain issues|poor infrastructure and supply chain issues
employees|demotivate|demotivate all employees
incidents|violence by communities against doctors|increasing incidents of violence by communities against doctors
communities|doctors|violence by communities against doctors
covid-19 pandemic|doctors|violence against doctors during the COVID-19 pandemic
system failings|demotivate doctors|Such system failings demotivate doctors
doctors|seek other opportunities|encourage doctors to seek other opportunities
doctors|private health sector|majority of doctors work in the private health sector
indian-born physicians|high-income countries|more than 60,000 Indian-born physicians now practicing in high-income countries
physicians|india|10% of the physicians trained in India have left the country
reform|ayushman bharat|Another reform brought in in 2018 is “Ayushman Bharat”
health insurance scheme|poor|Ayushman Bharat is a publicly financed health insurance scheme for the poor
primary care|health and wellness centers|allow them to access primary care from health and wellness centers
secondary and tertiary care services|participating private health facilities|avail secondary and tertiary care services from participating private health facilities
scheme|potential|The scheme has the potential
performance evaluation|scheme|recent performance evaluation shows the scheme has not succeeded
schemes|various states|Similar schemes have been launched independently by various states
publicly funded purchasing|private providers|concerns about the viability of publicly funded purchasing of services from private providers
private health sector|unmet demand|for-profit private health sector has perceived opportunities in this unmet demand for healthcare services
patients|provider of care|patients see the for-profit private health sector as providing services that are more available and of a higher quality
medicalization|corporatization|trend towards medicalization and corporatization remains largely unregulated
medicalization|corporatization|This trend towards medicalization and corporatization remains largely unregulated
primary care|secondary and tertiary care|primary care frequently eclipsed by the more expensive secondary and tertiary care
private sector|solo practitioners|the private sector was largely made up of solo practitioners or small nursing homes
private sector|corporate houses|the sector has become dominated by corporate houses in urban areas and is rapidly expanding to tier II and III cities
oop expenditure|total health expenditure|There has been a marked spike in increased OOP expenditure, which accounted for 62% of total health expenditure (US$60.6 billion out of US$ 97.1 billion) in 2014
private sector|medical tourism|This sector attracts patients from around the world, with nearly 234,000 coming into the country in 2015, bringing an influx of $3 billion, making India the third most popular destination worldwide for medical tourism
private sector|medical colleges|The private sector has invested heavily in setting up medical colleges which have proven to be profitable
medical colleges|government colleges|Their fees are high, as much as 100 times those of government colleges
private sector|doctors|doctors graduating from these colleges are not attracted to the paltry remuneration offered by contractual government posts. They gravitate towards higher remuneration in the private sector, which is consequently the largest employer of doctors in India
corporate sector|doctors’ professional autonomy|In an effort to maximize profit, the corporate sector imposes performance targets and practice constraints on doctors’ professional autonomy
young and early career doctors|status and opportunity|the majority of young and early career doctors face a simultaneous erosion of their status and opportunity
star doctors|flourishing practices|star doctors have flourishing practices
young and early career doctors|simultaneous erosion of their status and opportunity|young and early career doctors face a simultaneous erosion of their status and opportunity
national medical council|medical commission|National Medical Council revamped the inept Medical Commission
national medical council|regulation of health professionals|National Medical Council aims to improve the regulation of health professionals
national medical council|medical education|National Medical Council aims to improve the regulation of medical education
nmc act|private corporate sector|NMC Act is silent about the interplay between the private corporate sector
nmc act|pharmaceutical industries|NMC Act is silent about the interplay between the pharmaceutical industries
nmc act|medical education|NMC Act is silent about the interplay between medical education
nmc act|healthcare services|NMC Act is silent about the interplay between healthcare services
clarity|other reforms|introducing clarity in tandem with other reforms
centralizing control of medical education|little leeway for states|centralizing control of medical education leaves little leeway for states
medical education|geographical, cultural, social, and economic diversity|states have little leeway to adopt medical education to match the geographical, cultural, social, and economic diversity
total expenditure on health in india|3.84% of its gdp|total expenditure on health in India is 3.84% of its GDP
us|close to 18% devoted to healthcare|US has close to 18% of its GDP devoted to healthcare
government of india|1.29% of its budget to healthcare|Government of India has allocated about 1.29% of its budget to healthcare
national health policy 2017|increase the allocation to 2.5% by 2025|National Health Policy 2017 stated commitment to increase the allocation to 2.5% by 2025
domestic general government health expenditure|us 8.6%|Domestic General Government Health Expenditure was US 8.6%
domestic general government health expenditure|brazil 4%|Domestic General Government Health Expenditure was Brazil 4%
domestic general government health expenditure|china's 2.9%|Domestic General Government Health Expenditure was China's 2.9%
indian government|just over $30 billion|Indian government doubled its allocation to just over $30 billion
government|oop expenditures by consumers|government share of expenditure traditionally comes from OOP expenditures by consumers
families|falling into poverty|families falling into poverty every year paying for healthcare they can ill afford
government|increase its share of expenditure|Government must increase its share of expenditure
middle-income countries|neighbors|India should align its share of expenditure with other middle-income countries and its neighbors
efficiency|improvement|Improving efficiency
government|expenditure|The Government must increase its share of expenditure
government|middle-income countries|The Government must increase its share of expenditure to put it further in line with other middle-income countries and its neighbors
public health system|gdp|The public health system is currently unable to utilize even the 1% of the GDP
federal government|allocation|With a doubling of the federal government’s allocation in 2022
financial allocation|utilization capacity|Increasing the financial allocation and its utilization capacity will enhance the health infrastructure and workforce capability
institutional capacity building|competency-based training|This requires institutional capacity building and competency-based training in the government healthcare system
country|health services|This will allow the country to align its health services to local priorities
india|population|India exhibits its diversity in its population and disease profiles
india|health insurance|The majority of Indians (up to 80.9% in urban and 85.9% in rural) still do not have health insurance
public health sector|standards|The public health sector has revised standards for healthcare infrastructure, personnel, equipment and services for primary, secondary and tertiary care
health facilities|standardization|They need to be utilized to accredit health facilities in order to achieve standardization of the health system
private health sector|health care|The private health sector is the major provider of health care in India
india|medical tourism|The latter provide world class care and have made India one of the major hubs for medical tourism
private health sector|regulation|However, this sector remains largely unregulated
corporate hospitals|land|For example, these state-of-the-art corporate hospitals were allocated land in prime urban locations on the premise that a set percentage of patients from economically weaker off sections of society
locations|patients|a set percentage of patients from economically weaker off sections of society would receive care at little-to-no-cost
government|rules|the government could take steps to ensure the existing rules are implemented
government|costs|the government could create and enforce new rules to ensure reasonable costs to patients
government|profit margins|the government could cap the profit margins of the hospitals
health insurance scheme|central government employees|the health insurance scheme for central government employees in India purchases services from the private sector
health insurance scheme|national health insurance scheme|this model can be expanded to scale for the population using the newly launched national health insurance scheme (Ayushman Bharat)
digital technology|vaccination program|digital technology is being used to facilitate its vaccination program
digital technology|evin|a digital track and trace system, named eVin, has been developed to track vaccine availability and facilitate cold chain maintenance for its national immunization program
digital technology|online training management information systems|Online Training Management Information Systems have been indigenously developed
digital technology|medical devices|medical devices, mobile health apps, and wearable, trackable technology have all enhanced opportunities for personalized care, self-management, behavior modification and tele-monitoring of patients
india|technology|India should expand such application of technology to other portfolios within the health sector
high-income countries|digital technology|innovations in digital technology are supporting the delivery of vital healthcare
covid-19 pandemic|delivery of healthcare|the COVID-19 pandemic has catalyzed the pace and scale of this process and enabled the delivery of healthcare to populations who would have been denied such care otherwise
delivery of healthcare|populations|delivery of healthcare to populations who would have been denied such care otherwise
telemedicine|consultations|uptake of telemedicine for consultations with healthcare providers increased 50 to 175 times in the US during the COVID-19 pandemic
medical examination|procedures|scope of medical examination and procedures has expanded markedly during this pandemic
ai-embedded logarithms|covid-19 disease|AI-embedded logarithms now diagnose COVID-19 disease from chest x-rays and CT scans
doctors|ophthalmic fundal examination|doctors can now perform an ophthalmic fundal examination online
remote orthopedic examinations|standards|standards for conducting remote orthopedic examinations are now used successfully
drones|medicines|drones are being used to deliver medicines to communities
protective equipment|manufacturing|shortage of protective equipment during the pandemic was overcome by manufacturing it locally using 3D printing
india|digital divide|India must close its digital divide if it is to take advantage of digital technology to aid the delivery of healthcare to the rural areas where it is needed the most
india|internet density|India has an internet density of 25.3% for its rural areas where 66% of its population resides and an internet density of 97.9% where 34% of its population lives
private health sector|cognitive platform|private health sector is taking a lead in this area, with some centers enlisting a cognitive platform for the delivery of healthcare in oncology
telemedicine|reach of care|telemedicine can amplify the reach of care, thereby helping decrease maternal and child mortality, which are among the highest in the world in India
digital technologies|control of risk factors|use of digital technologies at scale can aid in the control of risk factors for non-communicable diseases such as smoking, alcohol abuse, physical inactivity, and unhealthy diet
india|diabetes capital|India is already known as the diabetes capital of the world
smoking|alcohol abuse|Both terms are mentioned in the same sentence
smoking|physical inactivity|Both terms are mentioned in the same sentence
smoking|unhealthy diet|Both terms are mentioned in the same sentence
india|diabetes capital of the world|India is referred to as the diabetes capital of the world
digital literacy|delivery and monitoring of care for the elderly|Increasing digital literacy can aid in the delivery and monitoring of care for the elderly
digital literacy|privacy in accessing care for those with mental health issues|Increasing digital literacy can ensure privacy in accessing care for those with mental health issues
digital literacy|stigma associated with mental health|Increasing digital literacy can help overcome the stigma associated with mental health
central government|leadership in the fight for better health for all indians|The central government needs to assert leadership in the fight for better health for all Indians
india|live register for health personnel and infrastructure|India needs to have a live register for health personnel and infrastructure
india|exact number or geospatial details about its practicing doctors|India does not have data about the exact number or geospatial details about its practicing doctors
india|quantity and geospatial location of its manpower|Having accurate data about the quantity and geospatial location of its manpower will increase efficiency and effectiveness
training schedules|erratic posting of personnel|Lack of transparency in creating training schedules, coupled with the erratic posting of personnel
training schedules|same personnel staying at district or state headquarters|Lack of transparency in creating training schedules, coupled with the same personnel staying at district or state headquarters
online training|overcome this challenge|Online training can help overcome this challenge
online training|investment in the necessary infrastructure|Adopting online training will require investment in the necessary infrastructure
training initiative|upgrading the skills of nurses|A two-year intermittent training initiative for upgrading the skills of nurses
training initiative|positive evaluations from participants|The training initiative received positive evaluations from participants
training initiative|few implemented what was learned|Few participants implemented what was learned from the training initiative
health personnel|deeper structural problems|Deeper structural problems including national and state-level policies, working conditions, and staff shortages affect health personnel
health personnel|sourcing health personnel who are native residents of the communities|Sourcing health personnel who are native residents of the communities
staff shortages|sourcing health personnel|Sourcing health personnel who are native residents of the communities, providing ongoing training in clinical and social skills, using a non-hierarchical work environment, and providing individualized mentoring help personnel retention and ensure personnel motivation.
staff shortages|increasing violence against healthcare personnel|Increasing violence against healthcare personnel, particularly doctors is a worrisome new trend that must be met head-on.
staff shortages|low physician-to-patient ratio|A low physician-to-patient ratio not only results in delays in attending patients but adds to costs.
staff shortages|underpaid physicians|Underpaid physicians are tempted to take on more patients than they can reasonably serve.
staff shortages|defensive medicine practices|Defensive medicine practices set in. Overwhelmed physicians protect themselves by ordering unnecessary tests and procedures.
staff shortages|profit motive of the private sector|The profit motive of the private sector forces mandatory advance payments.
staff shortages|unethical practices by pharmaceutical companies|Unethical practices by pharmaceutical companies abet these issues, tempting providers to refer unnecessarily and prescribe treatments that may not be needed to assure patients that their concerns are being addressed.
staff shortages|intense focus on specialization|An intense focus on specialization abet these issues, tempting providers to refer unnecessarily and prescribe treatments that may not be needed to assure patients that their concerns are being addressed.
staff shortages|physicians|As physicians, seen as authorities, are in direct contact with their patients, they are most accessible and tend to bear the brunt of agitated and frustrated patients and their families.
staff shortages|primary care physicians|Until and unless physicians, particularly primary care physicians, are adequately compensated, this trend is likely to continue with the consequences noted earlier.
staff shortages|private marketplace|The private marketplace will not be able to solve this. Only a thoughtful approach to government planning can reverse the situation.
sourcing health personnel|native residents of the communities|Sourcing health personnel who are native residents of the communities, providing ongoing training in clinical and social skills, using a non-hierarchical work environment, and providing individualized mentoring help personnel retention and ensure personnel motivation.
physicians|patients|As physicians, seen as authorities, are in direct contact with their patients, they are most accessible and tend to bear the brunt of agitated and frustrated patients and their families.
physicians|primary care physicians|Until and unless physicians, particularly primary care physicians, are adequately compensated, this trend is likely to continue with the consequences noted earlier.
physicians|private marketplace|The private marketplace will not be able to solve this. Only a thoughtful approach to government planning can reverse the situation.
primary care physicians|adequately compensated|Until and unless physicians, particularly primary care physicians, are adequately compensated, this trend is likely to continue with the consequences noted earlier.
private marketplace|thoughtful approach to government planning|The private marketplace will not be able to solve this. Only a thoughtful approach to government planning can reverse the situation.
services|efficiencies|synergize their services for maximizing efficiencies at scale
transparency|training|Focus on transparency, training and retaining health personnel
training|retaining health personnel|Focus on transparency, training and retaining health personnel
health infrastructure|uniform standards|strengthening health infrastructure, implementing uniform standards
india’s health system|affordable, accessible, quality care|ensure India’s health system is able to provide affordable, accessible, quality care for its citizens
health workforce requirements|universal health coverage|related to
health workforce requirements|sustainable development goals|related to
high-quality health systems|sustainable development goals|related to
revolution|sustainable development goals|related to
international health care system profiles india|india|related to
qualifications|health care providers|related to
villagers|health care providers|related to
medical tourism|india|related to
national rural health mission|reality|related to
million women|india's covid-19 frontlines|related to
gender inequalities|india's one million ashas|related to
gender inequalities|world's largest all-female community health worker programme|related to
patient perceptions|physicians|related to
patient perceptions|non-physician clinicians|related to
non-physician clinicians|rural primary health centers in india|related to
physicians|non-physician clinicians|patient perceptions of physicians and non-physician clinicians in rural primary health centers in India
non-physician clinicians|physician assistants|Tightening up the nomenclature for non-physician clinicians: why not call all of them physician assistants?
physicians|non-physician clinicians|Quality of care and non-physician clinicians in India
health workforce|rural and underserved areas of india|Retaining health workforce in rural and underserved areas of India: what works and what doesn't? A critical interpretative synthesis
health workers|north-east india|Rural recruitment and retention of health workers across cadres and types of contract in north-east India: a qualitative study
doctors|indian subcontinent|Violence against doctors in the Indian subcontinent: a rising bane
doctors|covid-19 pandemic in india|Violence against doctors: an emerging epidemic amidst COVID-19 pandemic in India
doctors|covid-19 pandemic in india|Current situation with doctors and healthcare workers during COVID-19 pandemic in India
physician emigration|indian physician emigration|Doctors for the world: Indian physician emigration
medical education|medical education, professionals and practice in india|Reforming the regulation of medical education, professionals and practice in India
medical education|professionals|Reforming the regulation of medical education, professionals and practice in India.
medical education|practice|Reforming the regulation of medical education, professionals and practice in India.
professionals|practice|Reforming the regulation of medical education, professionals and practice in India.
ayushman bharat pradhan mantri jan arogya yojana|universal health coverage|The Ayushman Bharat Pradhan Mantri Jan Arogya Yojana and the path to universal health coverage in India: overcoming the challenges of stewardship and governance.
ayushman bharat pradhan mantri jan arogya yojana|stewardship|The Ayushman Bharat Pradhan Mantri Jan Arogya Yojana and the path to universal health coverage in India: overcoming the challenges of stewardship and governance.
ayushman bharat pradhan mantri jan arogya yojana|governance|The Ayushman Bharat Pradhan Mantri Jan Arogya Yojana and the path to universal health coverage in India: overcoming the challenges of stewardship and governance.
pradhan mantri jan arogaya yojana|health insurance scheme|Performance of India's national publicly funded health insurance scheme, Pradhan Mantri Jan Arogaya Yojana (PMJAY), in improving access and financial protection for hospital care: findings from household surveys in Chhattisgarh state.
pradhan mantri jan arogaya yojana|access|Performance of India's national publicly funded health insurance scheme, Pradhan Mantri Jan Arogaya Yojana (PMJAY), in improving access and financial protection for hospital care: findings from household surveys in Chhattisgarh state.
pradhan mantri jan arogaya yojana|financial protection|Performance of India's national publicly funded health insurance scheme, Pradhan Mantri Jan Arogaya Yojana (PMJAY), in improving access and financial protection for hospital care: findings from household surveys in Chhattisgarh state.
india|andhra pradesh|State health insurance and out-of-pocket health expenditures in Andhra Pradesh, India.
india|health insurance|State health insurance and out-of-pocket health expenditures in Andhra Pradesh, India.
andhra pradesh|out-of-pocket health expenditures|State health insurance and out-of-pocket health expenditures in Andhra Pradesh, India.
andhra pradesh|maharashtra|Changes in addressing inequalities in access to hospital care in Andhra Pradesh and Maharashtra states of India: a difference-in-differences study using repeated cross-sectional surveys.
andhra pradesh|hospital care|Changes in addressing inequalities in access to hospital care in Andhra Pradesh and Maharashtra states of India: a difference-in-differences study using repeated cross-sectional surveys.
maharashtra|hospital care|Changes in addressing inequalities in access to hospital care in Andhra Pradesh and Maharashtra states of India: a difference-in-differences study using repeated cross-sectional surveys.
government health insurance|poverty line|Government health insurance for people below poverty line in India: quasi-experimental evaluation of insurance and health outcomes.
government health insurance|health outcomes|Government health insurance for people below poverty line in India: quasi-experimental evaluation of insurance and health outcomes.
andhra pradesh|health shocks|Economic vulnerability to health shocks and coping strategies: evidence from Andhra Pradesh, India.
andhra pradesh|coping strategies|Economic vulnerability to health shocks and coping strategies: evidence from Andhra Pradesh, India.
private health sector|india|The private health sector in India.
for-profit private healthcare sector|india|Regulation of the for-profit private healthcare sector in India: whose voices are being heard in policymaking?
indian public health standards|private sector|India turns to private sector to boost health coverage
medical tourism|india|Framework for Promotion of Medical Tourism: A Case of India
medical tourism|treatment, therapy, tourism|Medical tourism: treatment, therapy and tourism
digital health|covid-19|Digital health during COVID-19: lessons from operationalising new models of care in ophthalmology
digital health|united states biopharmaceutical industry|Digital health Integration assessment and maturity of the United States biopharmaceutical industry: forces driving the next generation of connected autoinjectable devices
telehealth|covid-19|After COVID-19, $250 billion in care could shift to telehealth
drones|ups and cvs|UPS and CVS will use drones to deliver in Florida
3-d printed protective equipment|covid-19 pandemic|3-D printed protective equipment during COVID-19 pandemic
competition issues|india's online economy|Competition Issues in India's Online Economy
machines|humans|Where machines could replace humans and where they can’t yet
machines|humans|Where machines could replace humans and where they can’t yet
relational agent|health behavior change|Promoting relational agent for health behavior change in low and middle-income countries (LMICs): issues and approaches
diabetic retinopathy|world diabetes day 2018|World Diabetes Day 2018: battling the emerging epidemic of diabetic retinopathy
nurse education capacity|india|Building nurse education capacity in India: insights from a faculty development programme in Andhra Pradesh
primary healthcare nurses|rural, tribal communities|Pathways to enable primary healthcare nurses in providing comprehensive primary healthcare to rural, tribal communities in Rajasthan, India
violence against doctors|india|Violence against doctors in India
underlying causes|violence against doctors|Addressing underlying causes of violence against doctors in India
